Path,IPX IP Name,IPX Latest IPV
./models_v2/pytorch/torchrec_dlrm/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-torchrec_dlrm-inference-gpu_src,38d47c6a-ba9d-4117-b9c0-70241f4325ef
./models_v2/pytorch/unetpp/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-unetpp-inference-gpu_src,2061e624-49d7-4fe8-be4c-a615bec70488
./models_v2/pytorch/yolov5/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-pytorch-yolov5-inference-gpu_src,438c12a8-5f19-484a-8d45-fc41b1c7eef5
./models_v2/tensorflow/3d_unet/training/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-tensorflow-3d_unet-training-gpu_src,fcc2e057-c0a7-4595-a019-f65c4228d4ed
./models_v2/tensorflow/bert_large/training/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-tensorflow-bert_large-training-gpu_src,d872a96c-3376-41fd-83d4-65af43103564
./models_v2/tensorflow/maskrcnn/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-tensorflow-maskrcnn-inference-gpu_src,d055e0c5-b37e-4134-8c8a-6e851833face
./models_v2/tensorflow/maskrcnn/training/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-tensorflow-maskrcnn-training-gpu_src,2e123948-6def-4ab2-b8e0-5276e713aaac
./models_v2/tensorflow/resnet50v1_5/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-tensorflow-resnet50v1_5-inference-gpu_src,d68128b2-e69d-4f90-9f24-b627800be55b
./models_v2/tensorflow/resnet50v1_5/training/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-tensorflow-resnet50v1_5-training-gpu_src,1f9940f2-0601-4090-9aa6-857f3ee8cf2b
./models_v2/tensorflow/stable_diffusion/inference/gpu/requirements.txt,Intel(R)AIReferenceModels-models_v2-tensorflow-stable_diffusion-inference-gpu_src,54d077a5-2840-49f7-87b4-6a3248633479
./requirements.txt,Intel(R)AIReferenceModels_src,
